time,current position,reference position
17.123,0.0,0
17.127,0.0,0
17.135,0.0,-0.25
17.146,-0.0018999999999997907,-0.25
17.155,-0.0036999999999995925,-0.25
17.165,-0.005699999999999372,-0.25
17.175,-0.007699999999999152,-0.25
17.185,-0.009699999999998932,-0.25
17.196,-0.011699999999998711,-0.25
17.206,-0.01389999999999847,-0.25
17.216,-0.01589999999999825,-0.25
17.225,-0.01769999999999805,-0.25
17.235,-0.01969999999999783,-0.25
17.256,-0.0226999999999975,-0.25
17.267,-0.025099999999997236,-0.25
17.28,-0.02769999999999695,-0.25
17.288,-0.029899999999996707,-0.25
17.294,-0.031099999999996575,-0.25
17.297,-0.032099999999996465,-0.25
17.307,-0.033899999999996266,-0.25
17.316,-0.03569999999999607,-0.25
17.335,-0.03869999999999574,-0.25
17.345,-0.040899999999995496,-0.25
17.351,-0.04249999999999532,-0.25
17.358,-0.04409999999999514,-0.25
17.367,-0.045899999999994945,-0.25
17.376,-0.047899999999994725,-0.25
17.386,-0.049699999999994526,-0.25
17.396,-0.051699999999994306,-0.25
17.405,-0.053699999999994086,-0.25
17.416,-0.055899999999993844,-0.25
17.426,-0.05789999999999362,-0.25
17.445,-0.060699999999993315,-0.25
17.456,-0.06289999999999307,-0.25
17.465,-0.06529999999999281,-0.25
17.47,-0.06649999999999268,-0.25
17.478,-0.0680999999999925,-0.25
17.487,-0.0698999999999923,-0.25
17.496,-0.07189999999999208,-0.25
17.505,-0.07369999999999188,-0.25
17.516,-0.07589999999999164,-0.25
17.525,-0.07769999999999144,-0.25
17.535,-0.07969999999999122,-0.25
17.545,-0.081699999999991,-0.25
17.556,-0.08389999999999076,-0.25
17.565,-0.08569999999999056,-0.25
17.576,-0.08789999999999032,-0.25
17.586,-0.08969999999999012,-0.25
17.596,-0.09189999999998988,-0.25
17.605,-0.09369999999998968,-0.25
17.616,-0.09589999999998944,-0.25
17.625,-0.09769999999998924,-0.25
17.635,-0.09969999999998902,-0.25
17.645,-0.1016999999999888,-0.25
17.656,-0.10369999999998858,-0.25
17.666,-0.10589999999998834,-0.25
17.676,-0.10789999999998812,-0.25
17.686,-0.1098999999999879,-0.25
17.696,-0.1116999999999877,-0.25
17.706,-0.11389999999998746,-0.25
17.716,-0.11569999999998726,-0.25
17.726,-0.11789999999998702,-0.25
17.736,-0.1198999999999868,-0.25
17.746,-0.1216999999999866,-0.25
17.756,-0.12369999999998638,-0.25
17.766,-0.12589999999998613,-0.25
17.776,-0.1278999999999859,-0.25
17.786,-0.1298999999999857,-0.25
17.796,-0.13189999999998547,-0.25
17.806,-0.13369999999998528,-0.25
17.817,-0.13589999999998503,-0.25
17.826,-0.1378999999999848,-0.25
17.835,-0.13969999999998461,-0.25
17.846,-0.1416999999999844,-0.25
17.856,-0.14369999999998417,-0.25
17.867,-0.14589999999998393,-0.25
17.876,-0.1478999999999837,-0.25
17.886,-0.1498999999999835,-0.25
17.896,-0.1516999999999833,-0.25
17.906,-0.15389646399998314,-0.25
17.917,-0.15588429967387407,-0.25
17.927,-0.15785497430169282,-0.25
17.936,-0.15961103492376338,-0.25
17.948,-0.1619166033009669,-0.25
17.958,-0.16362464948116107,-0.25
17.967,-0.16548775303977115,-0.25
17.977,-0.16731750450065563,-0.25
17.987,-0.16911279646383148,-0.25
17.996,-0.17069837070763527,-0.25
18.006,-0.1724265208368767,-0.25
18.017,-0.17430445840570563,-0.25
18.027,-0.17598315092636208,-0.25
18.036,-0.17760169447934282,-0.25
18.047,-0.17918273561078668,-0.25
18.057,-0.18073019059761886,-0.25
18.067,-0.1822478608081357,-0.25
18.077,-0.1837363194936632,-0.25
18.086,-0.18519253779800016,-0.25
18.096,-0.18647545498086493,-0.25
18.106,-0.18787087233846456,-0.25
18.115,-0.1892382284073275,-0.25
18.125,-0.19071047245098605,-0.25
18.135,-0.1918878675103104,-0.25
18.146,-0.19316493822668357,-0.25
18.156,-0.1945422955783409,-0.25
18.166,-0.19576778788818205,-0.25
18.175,-0.19684414617594093,-0.25
18.185,-0.19801374197711197,-0.25
18.195,-0.19915969412872636,-0.25
18.206,-0.20027973736678506,-0.25
18.216,-0.20148769205257966,-0.25
18.225,-0.20245344689924827,-0.25
18.235,-0.20350042460409457,-0.25
18.246,-0.20462685937194736,-0.25
18.256,-0.20562870116788123,-0.25
18.266,-0.20660742297267531,-0.25
18.276,-0.2074710222566014,-0.25
18.286,-0.20850231158970445,-0.25
18.296,-0.2094192640019794,-0.25
18.305,-0.21022628624225348,-0.25
18.317,-0.21118842627943812,-0.25
18.326,-0.21205444266190088,-0.25
18.335,-0.2128156608750118,-0.25
18.347,-0.21371226969631918,-0.25
18.356,-0.21451258127821715,-0.25
18.366,-0.21529348478682286,-0.25
18.376,-0.21605643806557207,-0.25
18.386,-0.2168040143723251,-0.25
18.396,-0.2174624856516547,-0.25
18.407,-0.21824929069153032,-0.25
18.417,-0.21895216619533953,-0.25
18.426,-0.2196423468197759,-0.25
18.436,-0.22024953654814472,-0.25
18.447,-0.22096687656451475,-0.25
18.456,-0.22154275128467393,-0.25
18.466,-0.2222298316391227,-0.25
18.476,-0.22284088796439128,-0.25
18.486,-0.2233790994244993,-0.25
18.496,-0.22402218627533088,-0.25
18.506,-0.22453354678785575,-0.25
18.516,-0.2250925729001867,-0.25
18.526,-0.2256483450583051,-0.25
18.536,-0.226238994319778,-0.25
18.546,-0.22671049663937848,-0.25
18.556,-0.2272735227374525,-0.25
18.566,-0.22777438978801,-0.25
18.576,-0.2282638805425694,-0.25
18.586,-0.22874224311114677,-0.25
18.596,-0.22921088785806498,-0.25
18.606,-0.2296642357147587,-0.25
18.616,-0.23010765177696357,-0.25
18.626,-0.23050290876409307,-0.25
18.636,-0.23097655710201104,-0.25
18.646,-0.23139780190479042,-0.25
18.657,-0.2318082032027522,-0.25
18.666,-0.232209885301373,-0.25
18.676,-0.23256348587335762,-0.25
18.686,-0.2329866432399461,-0.25
18.696,-0.23332576249297432,-0.25
18.706,-0.23372978884327633,-0.25
18.718,-0.2340896905308354,-0.25
