time,current position,reference position
7.658,-1.4749877674802292e-07,0
7.67,-1.4749877674802292e-07,0
7.681,-1.4749877674802292e-07,0
7.692,-1.4749877674802292e-07,0
7.701,-1.4749877674802292e-07,0
7.711,-1.4749877674802292e-07,0
7.7219999999999995,-1.4749877674802292e-07,0
7.733,-1.4749877674802292e-07,0
7.741,-1.4749877674802292e-07,0
7.746,-1.4749877674802292e-07,0
7.752,-1.4749877674802292e-07,0
7.7620000000000005,-1.4749877674802292e-07,0
7.773,-1.4749877674802292e-07,0
7.783,-1.4749877674802292e-07,0
7.792,-1.4749877674802292e-07,0
7.802,-1.4749877674802292e-07,0
7.812,-1.4749877674802292e-07,0
7.822,-1.4749877674802292e-07,0
7.832,-1.4749877674802292e-07,0
7.842,-1.4749877674802292e-07,0
7.852,-1.4749877674802292e-07,0
7.862,-1.4749877674802292e-07,0
7.873,-1.4749877674802292e-07,0
7.883,-1.4749877674802292e-07,0
7.892,-1.4749877674802292e-07,0
7.905,-1.4749877674802292e-07,0
7.916,-1.4749877674802292e-07,0
7.925,-1.4749877674802292e-07,0
7.936,-1.4749877674802292e-07,0
7.946,-1.4749877674802292e-07,0
7.957,-1.4749877674802292e-07,0
7.966,-1.4749877674802292e-07,0
7.978,-1.4749877674802292e-07,0
7.986,-1.4749877674802292e-07,0
7.994,-1.4749877674802292e-07,0
8.004,-1.4749877674802292e-07,0
8.013,-1.4749877674802292e-07,0
8.023,-1.4749877674802292e-07,0
8.034,-1.4749877674802292e-07,0
8.043,-1.4749877674802292e-07,0
8.054,-1.4749877674802292e-07,0
8.063,-1.4749877674802292e-07,0
8.074,-1.4749877674802292e-07,0
8.083,-1.4749877674802292e-07,0
8.093,-1.4749877674802292e-07,0
8.104,-1.4749877674802292e-07,0
8.114,-1.4749877674802292e-07,0
8.124,-1.4749877674802292e-07,0
8.134,-1.4749877674802292e-07,0
8.144,-1.4749877674802292e-07,0
8.154,-1.4749877674802292e-07,0
8.165,-1.4749877674802292e-07,0
8.174,-1.4749877674802292e-07,0
8.184,-1.4749877674802292e-07,0
8.193,-1.4749877674802292e-07,0
8.203,-1.4749877674802292e-07,0
8.213,-1.4749877674802292e-07,0
8.223,-1.4749877674802292e-07,0
8.234,-1.4749877674802292e-07,0
8.244,-1.4749877674802292e-07,0
8.254,-1.4749877674802292e-07,0
8.264,-1.4749877674802292e-07,0
8.274000000000001,-1.4749877674802292e-07,0
8.283,-1.4749877674802292e-07,0
8.294,-1.4749877674802292e-07,0
8.305,-1.4749877674802292e-07,0
8.314,-1.4749877674802292e-07,0
8.324,-1.4749877674802292e-07,0
8.334,-1.4749877674802292e-07,0
8.344,-1.4749877674802292e-07,0
8.353,-1.4749877674802292e-07,0
8.364,-1.4749877674802292e-07,0
8.374,-1.4749877674802292e-07,0
8.384,-1.4749877674802292e-07,0
8.394,-1.4749877674802292e-07,0
8.403,-1.4749877674802292e-07,0
8.414,-1.4749877674802292e-07,0
8.424,-1.4749877674802292e-07,0
8.434,-1.4749877674802292e-07,0
8.444,-1.4749877674802292e-07,0
8.454,-1.4749877674802292e-07,0
8.464,-1.4749877674802292e-07,0
8.474,-1.4749877674802292e-07,0
8.483,-1.4749877674802292e-07,0
8.493,-1.4749877674802292e-07,0
8.504,-1.4749877674802292e-07,0
8.514,-1.4749877674802292e-07,0
8.525,-1.4749877674802292e-07,0
8.533,-1.4749877674802292e-07,0
8.544,-1.4749877674802292e-07,0
8.554,-1.4749877674802292e-07,0
8.563,-1.4749877674802292e-07,0
8.574,-1.4749877674802292e-07,0
8.584,-1.4749877674802292e-07,0
8.594,-1.4749877674802292e-07,0
8.604,-1.4749877674802292e-07,0
8.614,-1.4749877674802292e-07,0
8.624,-1.4749877674802292e-07,0
8.634,-1.4749877674802292e-07,0
8.643,-1.4749877674802292e-07,0
8.654,-1.4749877674802292e-07,0
8.664,-1.4749877674802292e-07,0
8.674,-1.4749877674802292e-07,0
8.684,-1.4749877674802292e-07,0
8.693999999999999,-1.4749877674802292e-07,0
8.704,-1.4749877674802292e-07,0
8.714,-1.4749877674802292e-07,0
8.724,-1.4749877674802292e-07,0
8.734,-1.4749877674802292e-07,0
8.744,-1.4749877674802292e-07,0
8.754,-1.4749877674802292e-07,0
8.764,-1.4749877674802292e-07,0
8.774000000000001,-1.4749877674802292e-07,0
8.783,-1.4749877674802292e-07,0
8.794,-1.4749877674802292e-07,0
8.803,-1.4749877674802292e-07,0
8.813,-1.4749877674802292e-07,0
