time,current position,reference position
76.603,0.309338236,-0.25
76.612,0.308327727,-0.25
76.622,0.307204938,-0.25
76.634,0.305969871,-0.25
76.644,0.304847082,-0.25
76.653,0.303724294,-0.25
76.663,0.302713784,-0.25
76.673,0.301590996,-0.25
76.683,0.300355929,-0.25
76.691,0.299345419,-0.25
76.7,0.298334909,-0.25
76.71,0.297099842,-0.25
76.719,0.296089332,-0.25
76.729,0.295078823,-0.25
76.74,0.293843756,-0.25
76.75,0.292720967,-0.25
76.761,0.291598179,-0.25
76.773,0.290250832,-0.25
76.784,0.289240323,-0.25
76.793,0.288117534,-0.25
76.804,0.286882467,-0.25
76.813,0.285759679,-0.25
76.823,0.284749169,-0.25
76.833,0.283514102,-0.25
76.843,0.282503592,-0.25
76.853,0.281268525,-0.25
76.863,0.280258015,-0.25
76.874,0.278910669,-0.25
76.883,0.278012438,-0.25
76.894,0.276777371,-0.25
76.904,0.275654582,-0.25
76.914,0.274531794,-0.25
76.923,0.273521284,-0.25
76.935,0.272173938,-0.25
76.943,0.271163429,-0.25
76.953,0.270152919,-0.25
76.963,0.268917852,-0.25
76.973,0.267795063,-0.25
76.983,0.266784554,-0.25
76.993,0.265661765,-0.25
77.004,0.264426698,-0.25
77.014,0.263416188,-0.25
77.023,0.2622934,-0.25
77.034,0.261170611,-0.25
77.043,0.259935544,-0.25
77.053,0.258812756,-0.25
77.063,0.257802246,-0.25
77.074,0.256567179,-0.25
77.085,0.255332111,-0.25
77.094,0.254321602,-0.25
77.103,0.253311092,-0.25
77.113,0.252076025,-0.25
77.123,0.251065515,-0.25
77.133,0.249830448,-0.25
77.144,0.248707659,-0.25
77.153,0.247584871,-0.25
77.162,0.246574361,-0.25
77.173,0.245339294,-0.25
77.183,0.244216506,-0.25
77.193,0.243093717,-0.25
77.205,0.241970929,-0.25
77.213,0.240960419,-0.25
77.223,0.239837631,-0.25
77.233,0.238714842,-0.25
77.244,0.237367496,-0.25
77.253,0.236469265,-0.25
77.263,0.235346477,-0.25
77.274,0.234111409,-0.25
77.284,0.2331009,-0.25
77.293,0.231865833,-0.25
77.304,0.230855323,-0.25
77.314,0.229620256,-0.25
77.324,0.228497467,-0.25
77.333,0.227374679,-0.25
77.343,0.226364169,-0.25
77.355,0.225129102,-0.25
77.362,0.224118592,-0.25
77.372,0.222995804,-0.25
77.382,0.221873015,-0.25
77.392,0.220750227,-0.25
77.402,0.219627438,-0.25
77.412,0.21850465,-0.25
77.422,0.217381861,-0.25
77.431,0.216371352,-0.25
77.442,0.215136284,-0.25
77.452,0.214013496,-0.25
77.462,0.212890708,-0.25
77.472,0.211767919,-0.25
77.481,0.210757409,-0.25
77.492,0.209634621,-0.25
77.502,0.208399554,-0.25
77.512,0.207276765,-0.25
77.521,0.206266256,-0.25
77.531,0.205031188,-0.25
77.541,0.2039084,-0.25
77.551,0.202785611,-0.25
77.561,0.201662823,-0.25
77.571,0.200652313,-0.25
77.582,0.199417246,-0.25
77.592,0.198294458,-0.25
77.602,0.197171669,-0.25
77.612,0.196048881,-0.25
77.621,0.194926092,-0.25
77.631,0.193915583,-0.25
77.642,0.192680515,-0.25
77.652,0.191557727,-0.25
77.662,0.190434938,-0.25
77.672,0.18931215,-0.25
77.682,0.188189361,-0.25
77.691,0.187178852,-0.25
77.701,0.186056063,-0.25
77.711,0.184933275,-0.25
77.721,0.183698208,-0.25
77.731,0.182575419,-0.25
77.741,0.181452631,-0.25
77.751,0.180329842,-0.25
77.762,0.179207054,-0.25
77.772,0.178084265,-0.25
77.782,0.176961477,-0.25
77.791,0.175950967,-0.25
77.801,0.1747159,-0.25
77.811,0.17370539,-0.25
77.821,0.172582602,-0.25
77.831,0.171459813,-0.25
