time,current position,reference position
10.611,-0.1970999999999783,-0.4
10.621,-0.19909999999997807,-0.4
10.631,-0.20109999999997785,-0.4
10.641,-0.20289999999997765,-0.4
10.651,-0.2050999999999774,-0.4
10.66,-0.2068999999999772,-0.4
10.672,-0.20909999999997697,-0.4
10.682,-0.21109999999997675,-0.4
10.691,-0.21309999999997653,-0.4
10.7,-0.21489999999997633,-0.4
10.711,-0.2168999999999761,-0.4
10.721,-0.2188999999999759,-0.4
10.732,-0.22109999999997565,-0.4
10.742,-0.22309999999997543,-0.4
10.752,-0.2250999999999752,-0.4
10.763,-0.22729999999997497,-0.4
10.772,-0.22909999999997477,-0.4
10.783,-0.23109999999997455,-0.4
10.794,-0.2332999999999743,-0.4
10.803,-0.2350999999999741,-0.4
10.812,-0.2370999999999739,-0.4
10.822,-0.23909999999997367,-0.4
10.832,-0.24109999999997345,-0.4
10.842,-0.24309999999997323,-0.4
10.852,-0.245099999999973,-0.4
10.868,-0.24769999999997272,-0.4
10.878,-0.2496999999999725,-0.4
10.889,-0.2516999999999723,-0.4
10.9,-0.254099999999972,-0.4
10.907,-0.2558999999999718,-0.4
10.915,-0.25729999999997166,-0.4
10.923,-0.25909999999997146,-0.4
10.934,-0.2612999999999712,-0.4
10.943,-0.263299999999971,-0.4
10.954,-0.2652999999999708,-0.4
10.964,-0.26729999999997056,-0.4
10.973,-0.26929999999997034,-0.4
10.983,-0.27109999999997014,-0.4
10.994,-0.2732999999999699,-0.4
11.004,-0.2752999999999697,-0.4
11.014,-0.27749999999996944,-0.4
11.021,-0.27909999999996926,-0.4
11.031,-0.28109999999996904,-0.4
11.041,-0.28289999999996884,-0.4
11.05,-0.2848999999999686,-0.4
11.062,-0.2870999999999684,-0.4
11.071,-0.2888999999999682,-0.4
11.082,-0.29109999999996794,-0.4
11.092,-0.2930999999999677,-0.4
11.102,-0.2950999999999675,-0.4
11.112,-0.2970999999999673,-0.4
11.121,-0.29909999999996706,-0.4
11.132,-0.30109999999996684,-0.4
11.141,-0.30309876799996704,-0.4
11.151,-0.3048918463718071,-0.4
11.161,-0.3068720258648754,-0.4
11.171,-0.30883449931064777,-0.4
11.181,-0.3107824428226962,-0.4
11.191,-0.3129131432713945,-0.4
11.201,-0.314617796806931,-0.4
11.211,-0.31663822589738433,-0.4
11.222,-0.318440714057896,-0.4
11.232,-0.32021224998386955,-0.4
11.242,-0.3219527042436501,-0.4
11.252,-0.3236613181583172,-0.4
11.262,-0.32549995717468483,-0.4
11.271,-0.32681208015097307,-0.4
11.282,-0.32857628003404127,-0.4
11.292,-0.3301516216059346,-0.4
11.302,-0.33169277680628784,-0.4
11.311,-0.3332013177148516,-0.4
11.321,-0.33467572572263116,-0.4
11.331,-0.33597620071111156,-0.4
11.342,-0.33752938435736013,-0.4
11.352,-0.3389157971011221,-0.4
11.362,-0.3402682739698253,-0.4
11.372,-0.34158986389352775,-0.4
11.381,-0.3427552565294081,-0.4
11.392,-0.34414686402311645,-0.4
11.402,-0.3453856549312051,-0.4
11.413,-0.34659581278464024,-0.4
11.422,-0.3477788977625529,-0.4
11.432,-0.34893458480976336,-0.4
11.442,-0.3500649773248423,-0.4
11.451,-0.3510618220182704,-0.4
11.462,-0.3522520579908006,-0.4
11.472,-0.3533114980105174,-0.4
11.482,-0.3543463643183864,-0.4
11.492,-0.35535831600425416,-0.4
11.501,-0.35634848692333176,-0.4
11.511,-0.3572181386596738,-0.4
11.521,-0.35816927714912894,-0.4
11.532,-0.359288486321083,-0.4
11.541,-0.36000757400212624,-0.4
11.551,-0.3608788955847735,-0.4
11.561,-0.36174280000441716,-0.4
11.572,-0.3626740360237646,-0.4
11.581,-0.3634214271552434,-0.4
11.591,-0.36431211116175866,-0.4
11.600999999999999,-0.3650243048570838,-0.4
11.611,-0.36580093301653016,-0.4
11.621,-0.366564842206919,-0.4
11.632,-0.3673742102065578,-0.4
11.642,-0.3680941052307938,-0.4
11.651,-0.36879792902114317,-0.4
11.662,-0.36948680854924154,-0.4
11.672,-0.3701601120767668,-0.4
11.681000000000001,-0.3708190614717115,-0.4
11.691,-0.37139937087164965,-0.4
11.701,-0.37203480284692114,-0.4
11.711,-0.37266085498046353,-0.4
11.721,-0.3732645501899423,-0.4
11.731,-0.3739126713185903,-0.4
11.741,-0.3744319332279624,-0.4
11.751,-0.37505204536585635,-0.4
11.761,-0.3755486886797721,-0.4
11.772,-0.37614071015575923,-0.4
11.781,-0.3766688505206137,-0.4
11.791,-0.3771324581680764,-0.4
11.802,-0.3776861886080014,-0.4
11.812,-0.37817965247249696,-0.4
11.821,-0.37865896882678474,-0.4
11.83,-0.37907728278821295,-0.4
11.842,-0.3795828128265619,-0.4
11.852,-0.38003491845883874,-0.4
11.862,-0.38047628025619673,-0.4
11.872,-0.3809077355226145,-0.4
11.883,-0.38133009875922186,-0.4
11.891,-0.3817442512649507,-0.4
11.902,-0.38210836543237714,-0.4
11.912,-0.382544162409574,-0.4
11.922,-0.38293167677887796,-0.4
11.932,-0.383309359915905,-0.4
11.942,-0.3836783915219364,-0.4
11.951,-0.3840038395360501,-0.4
11.962,-0.3843925084016895,-0.4
11.972,-0.3847385300785868,-0.4
11.982,-0.38507658378883014,-0.4
11.992,-0.3854071969464805,-0.4
12.002,-0.3857307287050711,-0.4
12.011,-0.38604669661893065,-0.4
12.021,-0.38632461111163074,-0.4
12.031,-0.3866270717872582,-0.4
12.042,-0.38695243474212293,-0.4
12.052,-0.3872421950980789,-0.4
12.062,-0.38752521063409273,-0.4
12.071,-0.3878019183455177,-0.4
12.081,-0.38807210972144635,-0.4
12.091,-0.388309743288227,-0.4
12.102,-0.38859389251500387,-0.4
12.111,-0.38884760322635903,-0.4
12.121,-0.38909451652781457,-0.4
12.132,-0.38933568204401925,-0.4
12.141,-0.3895487603709744,-0.4
12.151,-0.38978196412158894,-0.4
12.161,-0.39003436191644436,-0.4
12.171,-0.39023353667805516,-0.4
12.182,-0.3904702329752978,-0.4
12.192,-0.3906812500604806,-0.4
12.201,-0.39088715055587087,-0.4
12.211,-0.3910880473869143,-0.4
12.221,-0.3912847100750101,-0.4
12.231,-0.3914570284934329,-0.4
12.241,-0.3916433750641295,-0.4
12.251,-0.3918285572301965,-0.4
12.261,-0.3920101770940847,-0.4
12.272,-0.3922054217432336,-0.4
12.282,-0.39237916775547044,-0.4
12.291,-0.3925317138889015,-0.4
12.301,-0.3927133926210471,-0.4
12.312,-0.3928747339807155,-0.4
12.322,-0.39303257229982314,-0.4
12.331,-0.39317175081237576,-0.4
12.342,-0.39333761350758145,-0.4
12.352,-0.39348550484869294,-0.4
12.362,-0.39362974495541625,-0.4
12.371,-0.3937706844879041,-0.4
12.381,-0.39389473748746995,-0.4
12.391,-0.39402976244350696,-0.4
12.401,-0.3941628354603546,-0.4
12.412,-0.3943069408453619,-0.4
12.422,-0.394433421540459,-0.4
12.431,-0.39454429321536133,-0.4
12.441,-0.39466453810332713,-0.4
12.451,-0.3947829747496061,-0.4
12.462,-0.39491220916978986,-0.4
12.471,-0.39502654155561046,-0.4
12.481,-0.39513645140017517,-0.4
12.492,-0.3952437257453354,-0.4
12.502,-0.39534808060063065,-0.4
12.511,-0.39544947385390605,-0.4
12.521,-0.39555007141413334,-0.4
12.531,-0.3956479077318278,-0.4
12.541,-0.39573374654241933,-0.4
12.551,-0.395828560120957,-0.4
12.561,-0.3959215098825395,-0.4
12.571,-0.3960130505980717,-0.4
12.582,-0.39611213828853464,-0.4
12.592,-0.3961990110501199,-0.4
12.602,-0.39628340302705545,-0.4
12.612,-0.39636575970820376,-0.4
12.621,-0.39644632573379757,-0.4
12.631,-0.3965172254289753,-0.4
12.642,-0.3966019893631285,-0.4
12.652,-0.3966774758653637,-0.4
12.662,-0.3967512008390326,-0.4
12.672,-0.39682313431108374,-0.4
12.682,-0.39689347600531955,-0.4
12.692,-0.3969623160422622,-0.4
12.702,-0.39702968468270217,-0.4
12.712,-0.39709560447435455,-0.4
12.722,-0.3971600981031871,-0.4
12.732,-0.3972294168903989,-0.4
12.74,-0.3972787945385148,-0.4
12.752,-0.3973507692310052,-0.4
12.761,-0.39739801662233676,-0.4
12.771,-0.39745558116402413,-0.4
12.781,-0.3975119723676075,-0.4
12.791,-0.3975670709439729,-0.4
12.802,-0.397626280476143,-0.4
12.812,-0.39767900185806937,-0.4
12.822,-0.39773049372146785,-0.4
12.832,-0.39778083699967737,-0.4
12.842,-0.3978300895020148,-0.4
12.852,-0.3978781794779913,-0.4
12.861,-0.39792054919207454,-0.4
12.873,-0.39797112965150183,-0.4
12.882,-0.39801622537059633,-0.4
12.891,-0.3980558801595493,-0.4
12.901,-0.39810313255726015,-0.4
12.912,-0.3981451051511604,-0.4
12.921,-0.3981863649936206,-0.4
12.931000000000001,-0.3982234717472024,-0.4
12.941,-0.3982643823203804,-0.4
12.951,-0.39830425049560225,-0.4
12.961,-0.39834301771134495,-0.4
12.972,-0.3983844427194587,-0.4
12.982,-0.3984211468958614,-0.4
12.991,-0.3984533043088716,-0.4
13.002,-0.3984883462621973,-0.4
13.012,-0.3985268585719013,-0.4
13.021,-0.398561218199899,-0.4
13.031,-0.39859073575873727,-0.4
13.041,-0.398622444535109,-0.4
13.052,-0.39865730350531514,-0.4
13.062,-0.39868899347822984,-0.4
13.072,-0.3987203771399661,-0.4
13.082,-0.39875076917346575,-0.4
13.092,-0.39878004826570423,-0.4
13.102,-0.3988086329058462,-0.4
13.111,-0.3988343493486235,-0.4
13.122,-0.39886816446588713,-0.4
13.131,-0.3988927182740669,-0.4
13.142,-0.3989160729392256,-0.4
13.152,-0.39894361700211256,-0.4
13.166,-0.3989730875944517,-0.4
13.177,-0.3989993612095566,-0.4
13.188,-0.39902305848901864,-0.4
13.2,-0.3990481675880153,-0.4
13.212,-0.39907959178655616,-0.4
13.224,-0.3991034234102324,-0.4
13.234,-0.39912725503390867,-0.4
13.245,-0.3991510866575849,-0.4
13.255,-0.3991727517700179,-0.4
13.266,-0.3991963683474846,-0.4
13.277,-0.39921899022949714,-0.4
13.287,-0.3992387190825477,-0.4
13.3,-0.3992583831718046,-0.4
13.311,-0.3992819800789129,-0.4
13.323,-0.3993053642459614,-0.4
13.33,-0.39932361385241877,-0.4
13.335,-0.39933573842836223,-0.4
13.34,-0.39934413032339244,-0.4
13.345,-0.39935251103024094,-0.4
13.352,-0.39936256787845914,-0.4
13.362,-0.39937932929215614,-0.4
13.372,-0.39939609070585314,-0.4
13.382,-0.39941285211955013,-0.4
13.391,-0.399429332499706,-0.4
13.401,-0.3994448358020488,-0.4
13.411,-0.39945828722560583,-0.4
13.421,-0.39947472785439775,-0.4
13.432,-0.3994896738805722,-0.4
13.442,-0.3995046199067467,-0.4
13.452,-0.39951928378115986,-0.4
13.462,-0.3995330501930052,-0.4
13.472,-0.39954619048289763,-0.4
13.482,-0.39955932067369004,-0.4
13.491,-0.39957245086448245,-0.4
13.502,-0.39958558105527486,-0.4
13.512,-0.3995987112460673,-0.4
13.522,-0.3996127869380073,-0.4
13.531,-0.3996223438782398,-0.4
13.542,-0.399634725634753,-0.4
13.552,-0.39964592666624865,-0.4
